Logger, d_artagnan_s:         	Automatically truncated logfile to 1048576
Session, d_artagnan_s:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, d_artagnan_s:        	Garbage collected 6 outgoing messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
PingLoop, d_artagnan_s:       	Ping DC 5.0
SessionPaths, d_artagnan_s:   	Waiting for exclusive lock of /var/www/html/telegram_app_service/test_sess.safe.php.lock...
SessionPaths, d_artagnan_s:   	Got exclusive lock of /var/www/html/telegram_app_service/test_sess.safe.php.lock...
SessionPaths, d_artagnan_s:   	Waiting for exclusive lock of /var/www/html/telegram_app_service/test_sess.lightState.php.lock...
SessionPaths, d_artagnan_s:   	Got exclusive lock of /var/www/html/telegram_app_service/test_sess.lightState.php.lock...
APIWrapper, d_artagnan_s:     	Saved session!
Session, d_artagnan_s:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, d_artagnan_s:        	Garbage collected 1 outgoing messages in DC 5, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, d_artagnan_s:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, d_artagnan_s:        	Garbage collected 7 outgoing messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, d_artagnan_s:  	Parsing updates (updateShort) received via the socket...
FeedLoop, d_artagnan_s:       	Resumed update feed loop generic
Session, d_artagnan_s:        	Garbage collected 1 incoming messages in DC 2, 0 left
